Timestamp,Your name,First Person ,Second person,Third person,Fourth person,Fifth person
,1,13,12,78,8,34
,2,61,42,39,3,69
,3,61,39,2,69,44
,4,37,21,14,28,51
,5,43,7,30,41,32
,6,33,71,80,61,51
,7,43,42,5,36,82
,8,78,12,1,13,15
,9,49,33,,,
,10,84,29,73,63,77
,11,12,69,27,,
,12,1,78,13,8,
,13,1,78,12,34,15
,14,58,38,81,37,4
,15,34,33,,,
,16,45,17,48,49,
,17,45,48,16,,
,18,52,76,75,,
,19,25,40,57,22,53
,20,72,83,76,22,57
,21,38,4,37,28,14
,22,53,57,85,40,25
,23,6,,,,
,24,63,19,73,22,53
,25,19,40,57,22,85
,26,48,64,47,50,
,27,86,31,35,,
,28,51,21,37,4,38
,29,87,10,88,77,
,30,41,32,43,48,7
,31,27,86,35,15,67
,32,41,7,82,42,30
,33,15,34,67,82,89
,34,15,33,1,35,78
,35,15,33,34,86,67
,36,82,43,32,46,7
,37,21,4,28,81,38
,38,21,51,14,81,91
,39,3,2,61,69,42
,40,57,19,25,22,53
,41,7,42,30,32,73
,42,7,69,41,32,2
,43,7,5,36,46,82
,44,64,73,30,76,69
,45,16,48,17,39,
,46,36,43,82,,
,47,26,48,44,41,
,48,26,45,50,17,39
,49,9,74,16,78,
,50,73,61,69,48,26
,51,28,38,37,4,21
,52,76,18,75,85,22
,53,22,85,40,57,72
,54,56,80,79,67,84
,55,,,,,
,56,,,,,
,57,,,,,
,58,14,81,21,4,51
,59,83,72,57,76,93
,60,20,53,19,22,57
,61,3,39,2,42,69
,62,67,68,33,94,15
,63,19,25,22,57,24
,64,26,44,51,28,21
,65,87,84,88,77,56
,66,88,77,92,,
,67,33,68,15,62,
,68,67,79,80,33,62
,69,42,39,61,2,3
,70,89,62,1,9,68
,71,79,67,80,68,
,72,59,83,53,40,93
,73,69,50,36,44,82
,74,78,71,,,
,75,84,52,76,85,83
,76,44,52,18,75,22
,77,88,56,79,65,87
,78,8,1,74,49,34
,79,68,67,80,71,90
,80,,,,,
,81,,,,,
,82,,,,,
,83,,,,,
,84,,,,,
,85,,,,,
,86,,,,,
,87,,,,,
,88,,,,,
,89,,,,,
,90,,,,,
,91,,,,,
,92,,,,,
,93,,,,,
,94,,,,,
